elapsed_s,ghost_pace,live_pace,rii,lead_lag_m,status
0,164.04448332507522,164.04448332507522,1.0,0.0,✅ On Pace
8,172.8110471107812,172.8110471107812,1.0,0.0,✅ On Pace
16,298.01064117913194,298.01064117913194,1.0,0.0,✅ On Pace
24,296.63203450217657,296.63203450217657,1.0,0.0,✅ On Pace
32,286.41645922913665,286.41645922913665,1.0,0.0,✅ On Pace
40,158.18594441154812,158.18594441154812,1.0,0.0,✅ On Pace
48,1346.4309142275497,1346.4309142275497,1.0,0.0,✅ On Pace
56,313.9651827325891,313.9651827325891,1.0,0.0,✅ On Pace
64,213.83930003245987,213.83930003245987,1.0,0.0,✅ On Pace
72,177.28276968889713,177.28276968889713,1.0,0.0,✅ On Pace
80,160.82650638811927,160.82650638811927,1.0,0.0,✅ On Pace
88,378.66260200459396,378.66260200459396,1.0,0.0,✅ On Pace
96,201.9275749514358,201.9275749514358,1.0,0.0,✅ On Pace
104,173.58574487903488,173.58574487903488,1.0,0.0,✅ On Pace
112,235.23368981524848,235.23368981524848,1.0,0.0,✅ On Pace
120,300.3858937322184,300.3858937322184,1.0,0.0,✅ On Pace
128,249.28885109825262,249.28885109825262,1.0,0.0,✅ On Pace
136,204.69962560628636,204.69962560628636,1.0,0.0,✅ On Pace
144,321.87281233650936,321.87281233650936,1.0,0.0,✅ On Pace
152,383.52563794637445,383.52563794637445,1.0,0.0,✅ On Pace
160,202.61846676670478,202.61846676670478,1.0,0.0,✅ On Pace
168,636.9854769702887,636.9854769702887,1.0,0.0,✅ On Pace
