elapsed_s,ghost_dist_m,live_dist_m,lead_lag_m,rii,status
0,0.0,0.0,0.0,1.1818,AHEAD
64,164.1,193.9,29.8,1.1818,AHEAD
128,328.2,387.9,59.7,1.1818,AHEAD
192,492.3,581.8,89.5,1.1818,AHEAD
256,656.4,775.8,119.3,1.1818,AHEAD
320,820.5,969.7,149.2,1.1818,AHEAD
384,984.6,1163.6,179.0,1.1818,AHEAD
448,1148.7,1357.6,208.9,1.1818,AHEAD
512,1312.8,1551.5,238.7,1.1818,AHEAD
576,1476.9,1745.5,268.5,1.1818,AHEAD
640,1641.0,1939.4,298.4,1.1818,AHEAD
704,1805.1,2133.3,328.2,1.1818,AHEAD
768,1969.2,2327.3,358.0,1.1818,AHEAD
832,2133.3,2500,366.7,1.1719,AHEAD
896,2297.4,2500,202.6,1.0882,AHEAD
960,2461.5,2500,38.5,1.0156,ON PACE
